Export Title: My Timeline
Export Date: 2026-01-15T08:58:43.126Z

Machine,Port ID,Start,End,State,Machine,Duration,Operator
102 HAAS VF4,1,1767689871,1767690058,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767690058,1767690670,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767690670,1767690672,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767690672,1767690675,Feedhold,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767690675,1767690689,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767690689,1767690873,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767690873,1767692146,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767692146,1767695458,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767695458,1767695996,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767695996,1767699296,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767699296,1767699541,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767699541,1767702864,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767702864,1767705002,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767705002,1767708144,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767708144,1767708785,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767708785,1767712059,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767712059,1767712353,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767712353,1767714718,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767714718,1767714863,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767714863,1767714889,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767714889,1767714905,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767714905,1767715924,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767715924,1767716318,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767716318,1767719637,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767719637,1767720450,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767720450,1767723775,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767723775,1767725105,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767725105,1767728408,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767728408,1767729043,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767729043,1767732361,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767732361,1767733423,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767733423,1767733493,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767733493,1767733503,Feedhold,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767733503,1767733536,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767733536,1767733551,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767733551,1767733554,Feedhold,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767733554,1767733566,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767733566,1767736800,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767736800,1767737135,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767737135,1767739218,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767739218,1767742521,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767742521,1767743107,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767743107,1767746431,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767746431,1767747050,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767747050,1767750403,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767750403,1767759443,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767759443,1767762692,Offline,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767762692,1767763015,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767763015,1767763027,Cycle,102 HAAS VF4,0,John Doe
